,군구,2015년,2016년,2017년,관광지수,평균관광객수
82,김제시,20197.0,20525.0,18901.0,1,59623.0
118,증평군,140859.0,162574.0,156933.0,5,92073.2
6,양구군,366115.0,404637.0,376001.0,11,104250.27272727272
92,정읍시,187882.0,185990.0,254653.0,6,104754.16666666667
47,영양군,125811.0,142158.0,154392.0,4,105590.25
116,음성군,82684.0,76465.0,68824.0,2,113986.5
110,홍성군,506866.0,482113.0,496661.0,12,123803.33333333333
96,계룡시,45547.0,43959.0,35379.0,1,124885.0
19,거창군,438114.0,409920.0,537684.0,11,125974.36363636363
89,임실군,487538.0,562337.0,650505.0,13,130798.46153846153
16,홍천군,153992.0,146527.0,118785.0,3,139768.0
44,성주군,213992.0,256648.0,131491.0,4,150532.75
59,고흥군,298923.0,302411.0,332795.0,6,155688.16666666666
66,무안군,409768.0,367786.0,344150.0,7,160243.42857142858
114,영동군,286185.0,282078.0,404842.0,6,162184.16666666666
90,장수군,296780.0,322329.0,385633.0,6,167457.0
35,경산시,127288.0,115907.0,91866.0,2,167530.5
14,태백시,348569.0,330447.0,390514.0,6,178255.0
100,당진시,299809.0,318797.0,278196.0,5,179360.4
79,화순군,1623728.0,1733382.0,1563048.0,27,182228.07407407407
42,봉화군,150000.0,175393.0,232273.0,3,185888.66666666666
53,의성군,255603.0,551945.0,555320.0,7,194695.42857142858
37,고령군,777913.0,781082.0,840362.0,12,199946.41666666666
99,논산시,181769.0,225169.0,206395.0,3,204444.33333333334
69,신안군,827693.0,827014.0,925243.0,12,214995.83333333334
76,진도군,506035.0,533285.0,480208.0,7,217075.42857142858
10,인제군,981385.0,1258548.0,1244679.0,16,217788.25
8,영월군,2064836.0,1790161.0,1516917.0,23,233561.47826086957
115,옥천군,367621.0,355575.0,219646.0,4,235710.5
121,충주시,1303538.0,1391891.0,1560245.0,18,236426.33333333334
40,김천시,602820.0,747916.0,838124.0,9,243206.66666666666
87,완주군,962984.0,910345.0,1108978.0,12,248525.58333333334
78,해남군,401569.0,436401.0,419270.0,5,251448.0
119,진천군,1228253.0,1217018.0,1342357.0,15,252508.53333333333
103,서산시,268289.0,277802.0,226538.0,3,257543.0
52,울진군,1744874.0,2219540.0,2550388.0,25,260592.08
75,장흥군,581317.0,569116.0,732030.0,7,268923.28571428574
113,보은군,963922.0,1017489.0,1367056.0,12,279038.9166666667
9,원주시,1975026.0,2202395.0,2190712.0,22,289460.5909090909
51,울릉군,250958.0,296530.0,326146.0,3,291211.3333333333
67,보성군,923364.0,850053.0,917427.0,9,298982.6666666667
61,광양시,472129.0,332345.0,1625044.0,8,303689.75
49,영천시,527426.0,668451.0,638386.0,6,305710.5
39,군위군,110967.0,89738.0,106766.0,1,307471.0
32,함안군,216306.0,188929.0,213895.0,2,309565.0
117,제천시,2273406.0,2202177.0,2707420.0,23,312304.47826086957
24,산청군,527463.0,663731.0,721574.0,6,318794.6666666667
63,나주시,1160202.0,1195249.0,1195996.0,11,322858.8181818182
28,창녕군,548789.0,507480.0,580157.0,5,327285.2
1,고성군,597366.0,988605.0,1061147.0,8,330889.75
101,보령시,477690.0,572675.0,680250.0,5,346123.0
60,곡성군,985357.0,985919.0,1153709.0,9,347220.55555555556
17,횡성군,557541.0,566383.0,669120.0,5,358608.8
55,청송군,1174753.0,1318118.0,1618588.0,11,373769.0
71,영광군,167007.0,218668.0,363711.0,2,374693.0
65,목포시,843086.0,844804.0,991892.0,7,382826.0
2,고성군,789704.0,1690539.0,650828.0,8,391383.875
22,밀양시,434107.0,374335.0,370739.0,3,393060.3333333333
54,청도군,650487.0,1083743.0,1060348.0,7,399225.4285714286
23,사천시,261726.0,270241.0,272084.0,2,402025.5
43,상주시,372080.0,679382.0,588698.0,4,410040.0
85,부안군,1923228.0,1817926.0,2477825.0,15,414598.6
98,금산군,217563.0,1208974.0,309276.0,4,433953.25
72,영암군,935188.0,1212858.0,942884.0,7,441561.4285714286
73,완도군,993166.0,1000679.0,1119751.0,7,444799.4285714286
74,장성군,744965.0,788759.0,1195189.0,6,454818.8333333333
77,함평군,774645.0,778207.0,748305.0,5,460231.4
0,강릉시,2144793.0,2489615.0,3298932.0,17,466667.0588235294
26,의령군,156343.0,159242.0,160686.0,1,476271.0
108,청양군,2126892.0,2109134.0,2002922.0,13,479919.07692307694
15,평창군,4198000.0,4670604.0,5126414.0,29,482586.8275862069
13,춘천시,5027789.0,4987853.0,4750721.0,30,492212.1
18,거제시,5485553.0,5321787.0,5475909.0,33,493431.7878787879
86,순창군,1279173.0,1325943.0,1389775.0,8,499361.375
30,통합창원시,2469453.0,2479398.0,2682406.0,15,508750.4666666667
111,괴산군,1823995.0,2015891.0,1834573.0,11,515859.9090909091
21,남해군,733738.0,712816.0,632945.0,4,519874.75
62,구례군,2097283.0,2104766.0,2072228.0,12,522856.4166666667
41,문경시,1286062.0,1320818.0,1119711.0,7,532370.1428571428
45,안동시,4417825.0,4693308.0,5100965.0,26,546619.1538461539
58,강진군,724327.0,1107042.0,1523489.0,6,559143.0
109,태안군,2417317.0,2385795.0,2154043.0,12,579762.9166666666
50,예천군,668213.0,1129324.0,531565.0,4,582275.5
